Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
94;0;0;500000;10;30;3;0;0
95;0;0;500000;10;30;3;0;0
96;0;0;500000;10;30;3;0;0
97;0;0;500000;10;30;3;0;0
98;0;0;500000;10;30;3;0;0
99;0;29;500000;10;30;3;18911215;1726198108978609671
0;1;0;500000;10;30;3;0;0
1;1;0;500000;10;30;3;0;0
2;1;0;500000;10;30;3;0;0
3;1;0;500000;10;30;3;0;0
4;1;0;500000;10;30;3;0;0
5;1;0;500000;10;30;3;0;0
6;1;0;500000;10;30;3;0;0
7;1;0;500000;10;30;3;0;0
8;1;0;500000;10;30;3;0;0
9;1;0;500000;10;30;3;0;0
10;1;0;500000;10;30;3;0;0
11;1;0;500000;10;30;3;0;0
12;1;0;500000;10;30;3;0;0
13;1;0;500000;10;30;3;0;0
14;1;0;500000;10;30;3;0;0
15;1;0;500000;10;30;3;0;0
16;1;0;500000;10;30;3;0;0
17;1;0;500000;10;30;3;0;0
18;1;0;500000;10;30;3;0;0
19;1;0;500000;10;30;3;0;0
20;1;0;500000;10;30;3;0;0
21;1;0;500000;10;30;3;0;0
22;1;0;500000;10;30;3;0;0
23;1;0;500000;10;30;3;0;0
24;1;0;500000;10;30;3;0;0
25;1;0;500000;10;30;3;0;0
26;1;0;500000;10;30;3;3959568;1726198108099946787
27;1;0;500000;10;30;3;0;0
28;1;0;500000;10;30;3;0;0
29;1;0;500000;10;30;3;0;0
30;1;0;500000;10;30;3;0;0
31;1;0;500000;10;30;3;0;0
32;1;0;500000;10;30;3;0;0
33;1;0;500000;10;30;3;0;0
34;1;0;500000;10;30;3;0;0
35;1;0;500000;10;30;3;0;0
36;1;0;500000;10;30;3;0;0
37;1;0;500000;10;30;3;0;0
38;1;0;500000;10;30;3;0;0
39;1;0;500000;10;30;3;0;0
40;1;0;500000;10;30;3;0;0
41;1;0;500000;10;30;3;0;0
42;1;0;500000;10;30;3;0;0
43;1;0;500000;10;30;3;0;0
44;1;0;500000;10;30;3;0;0
45;1;0;500000;10;30;3;0;0
46;1;0;500000;10;30;3;0;0
47;1;0;500000;10;30;3;0;0
48;1;0;500000;10;30;3;0;0
49;1;0;500000;10;30;3;0;0
50;1;0;500000;10;30;3;0;0
51;1;0;500000;10;30;3;0;0
52;1;0;500000;10;30;3;0;0
53;1;0;500000;10;30;3;0;0
54;1;0;500000;10;30;3;0;0
55;1;0;500000;10;30;3;0;0
56;1;0;500000;10;30;3;0;0
57;1;0;500000;10;30;3;0;0
58;1;0;500000;10;30;3;0;0
59;1;0;500000;10;30;3;0;0
60;1;0;500000;10;30;3;0;0
61;1;0;500000;10;30;3;0;0
62;1;0;500000;10;30;3;0;0
63;1;0;500000;10;30;3;0;0
64;1;0;500000;10;30;3;0;0
65;1;0;500000;10;30;3;0;0
66;1;0;500000;10;30;3;0;0
67;1;0;500000;10;30;3;0;0
68;1;0;500000;10;30;3;0;0
69;1;0;500000;10;30;3;0;0
70;1;0;500000;10;30;3;0;0
71;1;0;500000;10;30;3;0;0
72;1;0;500000;10;30;3;0;0
73;1;0;500000;10;30;3;0;0
74;1;0;500000;10;30;3;0;0
75;1;0;500000;10;30;3;0;0
76;1;0;500000;10;30;3;0;0
77;1;0;500000;10;30;3;0;0
78;1;0;500000;10;30;3;0;0
79;1;0;500000;10;30;3;0;0
80;1;0;500000;10;30;3;0;0
81;1;0;500000;10;30;3;0;0
82;1;0;500000;10;30;3;0;0
83;1;0;500000;10;30;3;0;0
84;1;0;500000;10;30;3;0;0
85;1;0;500000;10;30;3;0;0
86;1;0;500000;10;30;3;0;0
87;1;0;500000;10;30;3;0;0
88;1;0;500000;10;30;3;0;0
89;1;0;500000;10;30;3;0;0
90;1;0;500000;10;30;3;0;0
91;1;0;500000;10;30;3;0;0
92;1;0;500000;10;30;3;0;0
93;1;0;500000;10;30;3;0;0
94;1;0;500000;10;30;3;0;0
95;1;0;500000;10;30;3;0;0
96;1;0;500000;10;30;3;0;0
97;1;0;500000;10;30;3;0;0
98;1;0;500000;10;30;3;0;0
99;1;0;500000;10;30;3;0;0
0;1;0;500000;10;30;3;0;0
1;1;0;500000;10;30;3;0;0
2;1;0;500000;10;30;3;0;0
3;1;0;500000;10;30;3;0;0
4;1;0;500000;10;30;3;0;0
5;1;0;500000;10;30;3;0;0
6;1;0;500000;10;30;3;0;0
7;1;0;500000;10;30;3;0;0
8;1;0;500000;10;30;3;0;0
9;1;0;500000;10;30;3;0;0
10;1;0;500000;10;30;3;0;0
11;1;0;500000;10;30;3;0;0
12;1;0;500000;10;30;3;0;0
13;1;0;500000;10;30;3;0;0
14;1;0;500000;10;30;3;0;0
15;1;0;500000;10;30;3;0;0
16;1;0;500000;10;30;3;0;0
17;1;0;500000;10;30;3;0;0
18;1;0;500000;10;30;3;0;0
19;1;0;500000;10;30;3;0;0
20;1;0;500000;10;30;3;0;0
21;1;0;500000;10;30;3;0;0
22;1;0;500000;10;30;3;0;0
23;1;0;500000;10;30;3;0;0
24;1;0;500000;10;30;3;0;0
25;1;0;500000;10;30;3;0;0
26;1;0;500000;10;30;3;0;0
27;1;0;500000;10;30;3;0;0
28;1;1;500000;10;30;3;3906343;1726198108123659849
29;1;0;500000;10;30;3;0;0
30;1;0;500000;10;30;3;0;0
31;1;0;500000;10;30;3;0;0
32;1;0;500000;10;30;3;0;0
33;1;0;500000;10;30;3;0;0
34;1;1;500000;10;30;3;3927035;1726198108196286655
35;1;0;500000;10;30;3;0;0
36;1;0;500000;10;30;3;0;0
37;1;0;500000;10;30;3;0;0
38;1;0;500000;10;30;3;0;0
39;1;0;500000;10;30;3;0;0
40;1;0;500000;10;30;3;0;0
41;1;0;500000;10;30;3;0;0
42;1;0;500000;10;30;3;0;0
43;1;0;500000;10;30;3;0;0
44;1;0;500000;10;30;3;0;0
45;1;0;500000;10;30;3;0;0
46;1;0;500000;10;30;3;0;0
47;1;0;500000;10;30;3;0;0
48;1;0;500000;10;30;3;0;0
49;1;0;500000;10;30;3;0;0
50;1;0;500000;10;30;3;0;0
51;1;0;500000;10;30;3;0;0
52;1;0;500000;10;30;3;0;0
53;1;0;500000;10;30;3;0;0
54;1;0;500000;10;30;3;0;0
55;1;0;500000;10;30;3;0;0
56;1;0;500000;10;30;3;0;0
57;1;0;500000;10;30;3;0;0
58;1;0;500000;10;30;3;0;0
59;1;0;500000;10;30;3;0;0
60;1;0;500000;10;30;3;0;0
61;1;0;500000;10;30;3;0;0
62;1;0;500000;10;30;3;0;0
63;1;0;500000;10;30;3;0;0
64;1;0;500000;10;30;3;0;0
65;1;0;500000;10;30;3;0;0
66;1;0;500000;10;30;3;0;0
67;1;0;500000;10;30;3;0;0
68;1;0;500000;10;30;3;0;0
69;1;0;500000;10;30;3;0;0
70;1;0;500000;10;30;3;0;0
71;1;0;500000;10;30;3;0;0
72;1;0;500000;10;30;3;0;0
73;1;0;500000;10;30;3;0;0
74;1;0;500000;10;30;3;0;0
75;1;0;500000;10;30;3;0;0
76;1;0;500000;10;30;3;0;0
77;1;0;500000;10;30;3;0;0
78;1;0;500000;10;30;3;0;0
79;1;0;500000;10;30;3;0;0
80;1;0;500000;10;30;3;0;0
81;1;0;500000;10;30;3;0;0
82;1;0;500000;10;30;3;0;0
83;1;0;500000;10;30;3;0;0
84;1;0;500000;10;30;3;0;0
85;1;0;500000;10;30;3;0;0
86;1;0;500000;10;30;3;0;0
87;1;0;500000;10;30;3;0;0
88;1;0;500000;10;30;3;0;0
89;1;0;500000;10;30;3;0;0
90;1;0;500000;10;30;3;0;0
91;1;0;500000;10;30;3;0;0
92;1;0;500000;10;30;3;0;0
93;1;0;500000;10;30;3;0;0
94;1;0;500000;10;30;3;0;0
95;1;0;500000;10;30;3;0;0
96;1;0;500000;10;30;3;0;0
97;1;0;500000;10;30;3;0;0
98;1;0;500000;10;30;3;0;0
99;1;0;500000;10;30;3;0;0
0;1;0;500000;10;30;3;0;0
1;1;0;500000;10;30;3;0;0
2;1;0;500000;10;30;3;0;0
3;1;0;500000;10;30;3;0;0
4;1;0;500000;10;30;3;0;0
5;1;0;500000;10;30;3;0;0
6;1;0;500000;10;30;3;0;0
7;1;0;500000;10;30;3;0;0
8;1;0;500000;10;30;3;0;0
9;1;0;500000;10;30;3;0;0
10;1;0;500000;10;30;3;0;0
11;1;0;500000;10;30;3;0;0
12;1;0;500000;10;30;3;0;0
13;1;0;500000;10;30;3;0;0
14;1;0;500000;10;30;3;0;0
15;1;0;500000;10;30;3;0;0
16;1;0;500000;10;30;3;0;0
17;1;0;500000;10;30;3;0;0
18;1;0;500000;10;30;3;0;0
19;1;0;500000;10;30;3;0;0
20;1;0;500000;10;30;3;0;0
21;1;0;500000;10;30;3;0;0
22;1;0;500000;10;30;3;0;0
23;1;0;500000;10;30;3;0;0
24;1;0;500000;10;30;3;0;0
25;1;0;500000;10;30;3;0;0
26;1;0;500000;10;30;3;0;0
27;1;0;500000;10;30;3;0;0
28;1;0;500000;10;30;3;0;0
29;1;0;500000;10;30;3;0;0
30;1;0;500000;10;30;3;0;0
31;1;0;500000;10;30;3;0;0
32;1;0;500000;10;30;3;0;0
33;1;0;500000;10;30;3;0;0
34;1;0;500000;10;30;3;0;0
35;1;0;500000;10;30;3;0;0
36;1;0;500000;10;30;3;0;0
37;1;0;500000;10;30;3;0;0
38;1;2;500000;10;30;3;4039564;1726198108242614986
39;1;0;500000;10;30;3;0;0
40;1;0;500000;10;30;3;0;0
41;1;0;500000;10;30;3;0;0
42;1;2;500000;10;30;3;4111134;1726198108290544865
43;1;0;500000;10;30;3;0;0
44;1;0;500000;10;30;3;0;0
45;1;2;500000;10;30;3;4255748;1726198108326664387
46;1;0;500000;10;30;3;0;0
47;1;0;500000;10;30;3;0;0
48;1;0;500000;10;30;3;0;0
49;1;0;500000;10;30;3;0;0
50;1;0;500000;10;30;3;0;0
51;1;2;500000;10;30;3;4053567;1726198108399842828
52;1;0;500000;10;30;3;0;0
53;1;0;500000;10;30;3;0;0
54;1;0;500000;10;30;3;0;0
55;1;0;500000;10;30;3;0;0
56;1;0;500000;10;30;3;0;0
57;1;0;500000;10;30;3;0;0
58;1;0;500000;10;30;3;0;0
59;1;0;500000;10;30;3;0;0
60;1;0;500000;10;30;3;0;0
61;1;0;500000;10;30;3;0;0
62;1;0;500000;10;30;3;0;0
63;1;0;500000;10;30;3;0;0
64;1;0;500000;10;30;3;0;0
65;1;0;500000;10;30;3;0;0
66;1;0;500000;10;30;3;0;0
67;1;0;500000;10;30;3;0;0
68;1;0;500000;10;30;3;0;0
69;1;0;500000;10;30;3;0;0
70;1;0;500000;10;30;3;0;0
71;1;0;500000;10;30;3;0;0
72;1;0;500000;10;30;3;0;0
73;1;0;500000;10;30;3;0;0
74;1;0;500000;10;30;3;0;0
75;1;0;500000;10;30;3;0;0
76;1;0;500000;10;30;3;0;0
77;1;0;500000;10;30;3;0;0
78;1;0;500000;10;30;3;0;0
79;1;0;500000;10;30;3;0;0
80;1;0;500000;10;30;3;0;0
81;1;0;500000;10;30;3;0;0
82;1;0;500000;10;30;3;0;0
83;1;0;500000;10;30;3;0;0
84;1;0;500000;10;30;3;0;0
85;1;0;500000;10;30;3;0;0
86;1;0;500000;10;30;3;0;0
87;1;0;500000;10;30;3;0;0
88;1;0;500000;10;30;3;0;0
89;1;0;500000;10;30;3;0;0
90;1;0;500000;10;30;3;0;0
91;1;0;500000;10;30;3;0;0
92;1;0;500000;10;30;3;0;0
93;1;0;500000;10;30;3;0;0
94;1;0;500000;10;30;3;0;0
95;1;0;500000;10;30;3;0;0
96;1;0;500000;10;30;3;0;0
97;1;0;500000;10;30;3;0;0
98;1;0;500000;10;30;3;0;0
99;1;0;500000;10;30;3;0;0
0;1;0;500000;10;30;3;0;0
1;1;0;500000;10;30;3;0;0
2;1;0;500000;10;30;3;0;0
3;1;0;500000;10;30;3;0;0
4;1;3;500000;10;30;3;4014996;1726198107780011627
5;1;0;500000;10;30;3;0;0
6;1;0;500000;10;30;3;0;0
7;1;0;500000;10;30;3;0;0
8;1;0;500000;10;30;3;0;0
9;1;0;500000;10;30;3;0;0
10;1;0;500000;10;30;3;0;0
11;1;0;500000;10;30;3;0;0
12;1;0;500000;10;30;3;0;0
13;1;0;500000;10;30;3;0;0
14;1;0;500000;10;30;3;0;0
15;1;0;500000;10;30;3;0;0
16;1;0;500000;10;30;3;0;0
17;1;0;500000;10;30;3;0;0
18;1;0;500000;10;30;3;0;0
19;1;0;500000;10;30;3;0;0
20;1;0;500000;10;30;3;0;0
21;1;0;500000;10;30;3;0;0
22;1;0;500000;10;30;3;0;0
23;1;0;500000;10;30;3;0;0
24;1;0;500000;10;30;3;0;0
25;1;0;500000;10;30;3;0;0
26;1;0;500000;10;30;3;0;0
27;1;0;500000;10;30;3;0;0
28;1;0;500000;10;30;3;0;0
29;1;0;500000;10;30;3;0;0
30;1;0;500000;10;30;3;0;0
31;1;0;500000;10;30;3;0;0
32;1;0;500000;10;30;3;0;0
33;1;0;500000;10;30;3;0;0
34;1;0;500000;10;30;3;0;0
35;1;0;500000;10;30;3;0;0
36;1;0;500000;10;30;3;0;0
37;1;0;500000;10;30;3;0;0
38;1;0;500000;10;30;3;0;0
39;1;0;500000;10;30;3;0;0
40;1;0;500000;10;30;3;0;0
41;1;0;500000;10;30;3;0;0
42;1;0;500000;10;30;3;0;0
43;1;0;500000;10;30;3;0;0
44;1;0;500000;10;30;3;0;0
45;1;0;500000;10;30;3;0;0
46;1;0;500000;10;30;3;0;0
47;1;0;500000;10;30;3;0;0
48;1;0;500000;10;30;3;0;0
49;1;0;500000;10;30;3;0;0
50;1;0;500000;10;30;3;0;0
51;1;0;500000;10;30;3;0;0
52;1;0;500000;10;30;3;0;0
53;1;0;500000;10;30;3;0;0
54;1;0;500000;10;30;3;0;0
55;1;0;500000;10;30;3;0;0
56;1;0;500000;10;30;3;0;0
57;1;0;500000;10;30;3;0;0
58;1;0;500000;10;30;3;0;0
59;1;0;500000;10;30;3;0;0
60;1;0;500000;10;30;3;0;0
61;1;0;500000;10;30;3;0;0
62;1;0;500000;10;30;3;0;0
63;1;0;500000;10;30;3;0;0
64;1;0;500000;10;30;3;0;0
65;1;0;500000;10;30;3;0;0
66;1;0;500000;10;30;3;0;0
67;1;0;500000;10;30;3;0;0
68;1;0;500000;10;30;3;0;0
69;1;0;500000;10;30;3;0;0
70;1;0;500000;10;30;3;0;0
71;1;0;500000;10;30;3;0;0
72;1;0;500000;10;30;3;0;0
73;1;0;500000;10;30;3;0;0
74;1;0;500000;10;30;3;0;0
75;1;0;500000;10;30;3;0;0
76;1;0;500000;10;30;3;0;0
77;1;0;500000;10;30;3;0;0
78;1;0;500000;10;30;3;0;0
79;1;0;500000;10;30;3;0;0
80;1;0;500000;10;30;3;0;0
81;1;0;500000;10;30;3;0;0
82;1;0;500000;10;30;3;0;0
83;1;0;500000;10;30;3;0;0
84;1;0;500000;10;30;3;0;0
85;1;0;500000;10;30;3;0;0
86;1;0;500000;10;30;3;0;0
87;1;0;500000;10;30;3;0;0
88;1;0;500000;10;30;3;0;0
89;1;0;500000;10;30;3;0;0
90;1;0;500000;10;30;3;0;0
91;1;0;500000;10;30;3;0;0
92;1;0;500000;10;30;3;0;0
93;1;0;500000;10;30;3;0;0
94;1;0;500000;10;30;3;0;0
95;1;0;500000;10;30;3;0;0
96;1;0;500000;10;30;3;0;0
97;1;0;500000;10;30;3;0;0
98;1;0;500000;10;30;3;0;0
99;1;0;500000;10;30;3;0;0
0;1;0;500000;10;30;3;0;0
1;1;0;500000;10;30;3;0;0
2;1;0;500000;10;30;3;0;0
3;1;0;500000;10;30;3;0;0
4;1;0;500000;10;30;3;0;0
5;1;0;500000;10;30;3;0;0
6;1;0;500000;10;30;3;0;0
7;1;0;500000;10;30;3;0;0
8;1;0;500000;10;30;3;0;0
9;1;0;500000;10;30;3;0;0
10;1;4;500000;10;30;3;3873037;1726198107900439295
11;1;0;500000;10;30;3;0;0
12;1;0;500000;10;30;3;0;0
13;1;0;500000;10;30;3;0;0
14;1;0;500000;10;30;3;0;0
15;1;0;500000;10;30;3;0;0
16;1;0;500000;10;30;3;0;0
17;1;0;500000;10;30;3;0;0
18;1;0;500000;10;30;3;0;0
19;1;0;500000;10;30;3;0;0
20;1;0;500000;10;30;3;0;0
21;1;0;500000;10;30;3;0;0
22;1;0;500000;10;30;3;0;0
23;1;4;500000;10;30;3;3994933;1726198108066515771
24;1;0;500000;10;30;3;0;0
25;1;0;500000;10;30;3;0;0
26;1;0;500000;10;30;3;0;0
27;1;0;500000;10;30;3;0;0
28;1;0;500000;10;30;3;0;0
29;1;0;500000;10;30;3;0;0
30;1;0;500000;10;30;3;0;0
31;1;0;500000;10;30;3;0;0
32;1;0;500000;10;30;3;0;0
33;1;0;500000;10;30;3;0;0
34;1;0;500000;10;30;3;0;0
35;1;0;500000;10;30;3;0;0
36;1;0;500000;10;30;3;0;0
37;1;0;500000;10;30;3;0;0
38;1;0;500000;10;30;3;0;0
39;1;0;500000;10;30;3;0;0
40;1;0;500000;10;30;3;0;0
41;1;0;500000;10;30;3;0;0
42;1;0;500000;10;30;3;0;0
43;1;0;500000;10;30;3;0;0
44;1;0;500000;10;30;3;0;0
45;1;0;500000;10;30;3;0;0
46;1;0;500000;10;30;3;0;0
47;1;4;500000;10;30;3;7149131;1726198108349782053
48;1;0;500000;10;30;3;0;0
49;1;0;500000;10;30;3;0;0
50;1;0;500000;10;30;3;0;0
51;1;0;500000;10;30;3;0;0
52;1;0;500000;10;30;3;0;0
53;1;0;500000;10;30;3;0;0
54;1;0;500000;10;30;3;0;0
55;1;0;500000;10;30;3;0;0
56;1;0;500000;10;30;3;0;0
57;1;0;500000;10;30;3;0;0
58;1;0;500000;10;30;3;0;0
59;1;0;500000;10;30;3;0;0
60;1;0;500000;10;30;3;0;0
61;1;0;500000;10;30;3;0;0
62;1;0;500000;10;30;3;0;0
63;1;0;500000;10;30;3;0;0
64;1;0;500000;10;30;3;0;0
65;1;0;500000;10;30;3;0;0
66;1;0;500000;10;30;3;0;0
67;1;0;500000;10;30;3;0;0
68;1;0;500000;10;30;3;0;0
69;1;0;500000;10;30;3;0;0
70;1;0;500000;10;30;3;0;0
71;1;0;500000;10;30;3;0;0
72;1;0;500000;10;30;3;0;0
73;1;0;500000;10;30;3;0;0
74;1;0;500000;10;30;3;0;0
75;1;0;500000;10;30;3;0;0
76;1;0;500000;10;30;3;0;0
77;1;0;500000;10;30;3;0;0
78;1;0;500000;10;30;3;0;0
79;1;0;500000;10;30;3;0;0
80;1;0;500000;10;30;3;0;0
81;1;0;500000;10;30;3;0;0
82;1;0;500000;10;30;3;0;0
83;1;0;500000;10;30;3;0;0
84;1;0;500000;10;30;3;0;0
85;1;0;500000;10;30;3;0;0
86;1;0;500000;10;30;3;0;0
87;1;0;500000;10;30;3;0;0
88;1;0;500000;10;30;3;0;0
89;1;0;500000;10;30;3;0;0
90;1;0;500000;10;30;3;0;0
91;1;0;500000;10;30;3;0;0
92;1;0;500000;10;30;3;0;0
93;1;0;500000;10;30;3;0;0
94;1;0;500000;10;30;3;0;0
95;1;0;500000;10;30;3;0;0
96;1;0;500000;10;30;3;0;0
97;1;0;500000;10;30;3;0;0
98;1;0;500000;10;30;3;0;0
99;1;0;500000;10;30;3;0;0
0;1;0;500000;10;30;3;0;0
1;1;0;500000;10;30;3;0;0
2;1;0;500000;10;30;3;0;0
3;1;0;500000;10;30;3;0;0
4;1;0;500000;10;30;3;0;0
5;1;0;500000;10;30;3;0;0
6;1;0;500000;10;30;3;0;0
7;1;0;500000;10;30;3;0;0
8;1;0;500000;10;30;3;0;0
9;1;0;500000;10;30;3;0;0
10;1;0;500000;10;30;3;0;0
11;1;0;500000;10;30;3;0;0
12;1;0;500000;10;30;3;0;0
13;1;0;500000;10;30;3;0;0
14;1;0;500000;10;30;3;0;0
15;1;0;500000;10;30;3;0;0
16;1;0;500000;10;30;3;0;0
17;1;0;500000;10;30;3;0;0
18;1;0;500000;10;30;3;0;0
19;1;0;500000;10;30;3;0;0
20;1;0;500000;10;30;3;0;0
21;1;0;500000;10;30;3;0;0
22;1;0;500000;10;30;3;0;0
23;1;0;500000;10;30;3;0;0
24;1;0;500000;10;30;3;0;0
25;1;0;500000;10;30;3;0;0
26;1;0;500000;10;30;3;0;0
27;1;0;500000;10;30;3;0;0
28;1;0;500000;10;30;3;0;0
29;1;0;500000;10;30;3;0;0
30;1;0;500000;10;30;3;0;0
31;1;0;500000;10;30;3;0;0
32;1;0;500000;10;30;3;0;0
33;1;0;500000;10;30;3;0;0
34;1;0;500000;10;30;3;0;0
35;1;0;500000;10;30;3;0;0
36;1;0;500000;10;30;3;0;0
37;1;0;500000;10;30;3;0;0
38;1;0;500000;10;30;3;0;0
39;1;0;500000;10;30;3;0;0
40;1;0;500000;10;30;3;0;0
41;1;0;500000;10;30;3;0;0
42;1;0;500000;10;30;3;0;0
43;1;0;500000;10;30;3;0;0
44;1;0;500000;10;30;3;0;0
45;1;0;500000;10;30;3;0;0
46;1;0;500000;10;30;3;0;0
47;1;0;500000;10;30;3;0;0
48;1;0;500000;10;30;3;0;0
49;1;0;500000;10;30;3;0;0
50;1;0;500000;10;30;3;0;0
51;1;0;500000;10;30;3;0;0
52;1;0;500000;10;30;3;0;0
53;1;0;500000;10;30;3;0;0
54;1;0;500000;10;30;3;0;0
55;1;0;500000;10;30;3;0;0
56;1;0;500000;10;30;3;0;0
57;1;0;500000;10;30;3;0;0
58;1;0;500000;10;30;3;0;0
59;1;0;500000;10;30;3;0;0
60;1;0;500000;10;30;3;0;0
61;1;0;500000;10;30;3;0;0
62;1;0;500000;10;30;3;0;0
63;1;0;500000;10;30;3;0;0
64;1;0;500000;10;30;3;0;0
65;1;0;500000;10;30;3;0;0
66;1;0;500000;10;30;3;0;0
67;1;0;500000;10;30;3;0;0
68;1;0;500000;10;30;3;0;0
69;1;0;500000;10;30;3;0;0
70;1;0;500000;10;30;3;0;0
71;1;0;500000;10;30;3;0;0
72;1;0;500000;10;30;3;0;0
73;1;0;500000;10;30;3;0;0
74;1;0;500000;10;30;3;0;0
75;1;0;500000;10;30;3;0;0
76;1;0;500000;10;30;3;0;0
77;1;0;500000;10;30;3;0;0
78;1;0;500000;10;30;3;0;0
79;1;0;500000;10;30;3;0;0
80;1;0;500000;10;30;3;0;0
81;1;0;500000;10;30;3;0;0
82;1;0;500000;10;30;3;0;0
83;1;0;500000;10;30;3;0;0
84;1;0;500000;10;30;3;0;0
85;1;0;500000;10;30;3;0;0
86;1;0;500000;10;30;3;0;0
87;1;0;500000;10;30;3;0;0
88;1;0;500000;10;30;3;0;0
89;1;0;500000;10;30;3;0;0
90;1;0;500000;10;30;3;0;0
91;1;0;500000;10;30;3;0;0
92;1;0;500000;10;30;3;0;0
93;1;0;500000;10;30;3;0;0
94;1;0;500000;10;30;3;0;0
95;1;0;500000;10;30;3;0;0
96;1;0;500000;10;30;3;0;0
97;1;0;500000;10;30;3;0;0
98;1;0;500000;10;30;3;0;0
99;1;0;500000;10;30;3;0;0
0;1;0;500000;10;30;3;0;0
1;1;0;500000;10;30;3;0;0
2;1;0;500000;10;30;3;0;0
3;1;0;500000;10;30;3;0;0
4;1;0;500000;10;30;3;0;0
5;1;0;500000;10;30;3;0;0
6;1;0;500000;10;30;3;0;0
7;1;0;500000;10;30;3;0;0
8;1;0;500000;10;30;3;0;0
9;1;0;500000;10;30;3;0;0
10;1;0;500000;10;30;3;0;0
11;1;6;500000;10;30;3;4018275;1726198107920957153
12;1;0;500000;10;30;3;0;0
13;1;0;500000;10;30;3;0;0
14;1;0;500000;10;30;3;0;0
15;1;0;500000;10;30;3;0;0
16;1;0;500000;10;30;3;0;0
17;1;0;500000;10;30;3;0;0
18;1;0;500000;10;30;3;0;0
19;1;0;500000;10;30;3;0;0
20;1;0;500000;10;30;3;0;0
21;1;0;500000;10;30;3;0;0
22;1;0;500000;10;30;3;0;0
23;1;0;500000;10;30;3;0;0
24;1;0;500000;10;30;3;0;0
25;1;0;500000;10;30;3;0;0
26;1;0;500000;10;30;3;0;0
27;1;0;500000;10;30;3;0;0
28;1;0;500000;10;30;3;0;0
29;1;0;500000;10;30;3;0;0
30;1;0;500000;10;30;3;0;0
31;1;0;500000;10;30;3;0;0
32;1;0;500000;10;30;3;0;0
33;1;0;500000;10;30;3;0;0
34;1;0;500000;10;30;3;0;0
35;1;0;500000;10;30;3;0;0
36;1;0;500000;10;30;3;0;0
37;1;0;500000;10;30;3;0;0
38;1;0;500000;10;30;3;0;0
39;1;0;500000;10;30;3;0;0
40;1;0;500000;10;30;3;0;0
41;1;0;500000;10;30;3;0;0
42;1;0;500000;10;30;3;0;0
43;1;0;500000;10;30;3;0;0
44;1;0;500000;10;30;3;0;0
45;1;0;500000;10;30;3;0;0
46;1;0;500000;10;30;3;0;0
47;1;0;500000;10;30;3;0;0
48;1;0;500000;10;30;3;0;0
49;1;0;500000;10;30;3;0;0
50;1;0;500000;10;30;3;0;0
51;1;0;500000;10;30;3;0;0
52;1;0;500000;10;30;3;0;0
53;1;0;500000;10;30;3;0;0
54;1;0;500000;10;30;3;0;0
55;1;0;500000;10;30;3;0;0
56;1;0;500000;10;30;3;0;0
57;1;0;500000;10;30;3;0;0
58;1;0;500000;10;30;3;0;0
59;1;0;500000;10;30;3;0;0
60;1;0;500000;10;30;3;0;0
61;1;0;500000;10;30;3;0;0
62;1;0;500000;10;30;3;0;0
63;1;0;500000;10;30;3;0;0
64;1;0;500000;10;30;3;0;0
65;1;0;500000;10;30;3;0;0
66;1;0;500000;10;30;3;0;0
67;1;0;500000;10;30;3;0;0
68;1;0;500000;10;30;3;0;0
69;1;0;500000;10;30;3;0;0
70;1;0;500000;10;30;3;0;0
71;1;0;500000;10;30;3;0;0
72;1;0;500000;10;30;3;0;0
73;1;0;500000;10;30;3;0;0
74;1;0;500000;10;30;3;0;0
75;1;0;500000;10;30;3;0;0
76;1;0;500000;10;30;3;0;0
77;1;0;500000;10;30;3;0;0
78;1;0;500000;10;30;3;0;0
79;1;0;500000;10;30;3;0;0
80;1;0;500000;10;30;3;0;0
81;1;0;500000;10;30;3;0;0
82;1;0;500000;10;30;3;0;0
83;1;0;500000;10;30;3;0;0
84;1;0;500000;10;30;3;0;0
85;1;0;500000;10;30;3;0;0
86;1;0;500000;10;30;3;0;0
87;1;0;500000;10;30;3;0;0
88;1;0;500000;10;30;3;0;0
89;1;0;500000;10;30;3;0;0
90;1;0;500000;10;30;3;0;0
91;1;0;500000;10;30;3;0;0
92;1;0;500000;10;30;3;0;0
93;1;0;500000;10;30;3;0;0
94;1;0;500000;10;30;3;0;0
95;1;0;500000;10;30;3;0;0
96;1;0;500000;10;30;3;0;0
97;1;0;500000;10;30;3;0;0
98;1;0;500000;10;30;3;0;0
99;1;0;500000;10;30;3;0;0
0;1;0;500000;10;30;3;0;0
1;1;0;500000;10;30;3;0;0
2;1;0;500000;10;30;3;0;0
3;1;0;500000;10;30;3;0;0
4;1;0;500000;10;30;3;0;0
5;1;0;500000;10;30;3;0;0
6;1;0;500000;10;30;3;0;0
7;1;0;500000;10;30;3;0;0
8;1;0;500000;10;30;3;0;0
9;1;0;500000;10;30;3;0;0
10;1;0;500000;10;30;3;0;0
11;1;0;500000;10;30;3;0;0
12;1;0;500000;10;30;3;0;0
13;1;0;500000;10;30;3;0;0
14;1;0;500000;10;30;3;0;0
15;1;0;500000;10;30;3;0;0
16;1;0;500000;10;30;3;0;0
17;1;0;500000;10;30;3;0;0
18;1;0;500000;10;30;3;0;0
19;1;0;500000;10;30;3;0;0
20;1;0;500000;10;30;3;0;0
21;1;0;500000;10;30;3;0;0
