Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
92;3;0;100;10;20;5;0;0
93;3;0;100;10;20;5;0;0
94;3;0;100;10;20;5;0;0
95;3;0;100;10;20;5;0;0
96;3;0;100;10;20;5;0;0
97;3;0;100;10;20;5;0;0
98;3;0;100;10;20;5;0;0
99;3;0;100;10;20;5;0;0
0;3;0;100;10;20;5;0;0
1;3;0;100;10;20;5;0;0
2;3;0;100;10;20;5;0;0
3;3;0;100;10;20;5;0;0
4;3;0;100;10;20;5;0;0
5;3;0;100;10;20;5;0;0
6;3;0;100;10;20;5;0;0
7;3;0;100;10;20;5;0;0
8;3;0;100;10;20;5;0;0
9;3;0;100;10;20;5;0;0
10;3;0;100;10;20;5;0;0
11;3;0;100;10;20;5;0;0
12;3;0;100;10;20;5;0;0
13;3;0;100;10;20;5;0;0
14;3;0;100;10;20;5;0;0
15;3;0;100;10;20;5;0;0
16;3;2;100;10;20;5;234589;1726179876308999962
17;3;0;100;10;20;5;0;0
18;3;0;100;10;20;5;0;0
19;3;0;100;10;20;5;0;0
20;3;0;100;10;20;5;0;0
21;3;0;100;10;20;5;0;0
22;3;0;100;10;20;5;0;0
23;3;0;100;10;20;5;0;0
24;3;0;100;10;20;5;0;0
25;3;0;100;10;20;5;0;0
26;3;0;100;10;20;5;0;0
27;3;0;100;10;20;5;0;0
28;3;0;100;10;20;5;0;0
29;3;0;100;10;20;5;0;0
30;3;0;100;10;20;5;0;0
31;3;0;100;10;20;5;0;0
32;3;0;100;10;20;5;0;0
33;3;0;100;10;20;5;0;0
34;3;0;100;10;20;5;0;0
35;3;0;100;10;20;5;0;0
36;3;0;100;10;20;5;0;0
37;3;0;100;10;20;5;0;0
38;3;0;100;10;20;5;0;0
39;3;0;100;10;20;5;0;0
40;3;0;100;10;20;5;0;0
41;3;0;100;10;20;5;0;0
42;3;0;100;10;20;5;0;0
43;3;0;100;10;20;5;0;0
44;3;0;100;10;20;5;0;0
45;3;0;100;10;20;5;0;0
46;3;0;100;10;20;5;0;0
47;3;0;100;10;20;5;0;0
48;3;0;100;10;20;5;0;0
49;3;0;100;10;20;5;0;0
50;3;0;100;10;20;5;0;0
51;3;0;100;10;20;5;0;0
52;3;0;100;10;20;5;0;0
53;3;0;100;10;20;5;0;0
54;3;0;100;10;20;5;0;0
55;3;0;100;10;20;5;0;0
56;3;0;100;10;20;5;0;0
57;3;0;100;10;20;5;0;0
58;3;0;100;10;20;5;0;0
59;3;0;100;10;20;5;0;0
60;3;0;100;10;20;5;0;0
61;3;0;100;10;20;5;0;0
62;3;0;100;10;20;5;0;0
63;3;0;100;10;20;5;0;0
64;3;0;100;10;20;5;0;0
65;3;0;100;10;20;5;0;0
66;3;0;100;10;20;5;0;0
67;3;0;100;10;20;5;0;0
68;3;0;100;10;20;5;0;0
69;3;0;100;10;20;5;0;0
70;3;0;100;10;20;5;0;0
71;3;0;100;10;20;5;0;0
72;3;0;100;10;20;5;0;0
73;3;0;100;10;20;5;0;0
74;3;0;100;10;20;5;0;0
75;3;0;100;10;20;5;0;0
76;3;0;100;10;20;5;0;0
77;3;0;100;10;20;5;0;0
78;3;0;100;10;20;5;0;0
79;3;0;100;10;20;5;0;0
80;3;0;100;10;20;5;0;0
81;3;0;100;10;20;5;0;0
82;3;0;100;10;20;5;0;0
83;3;0;100;10;20;5;0;0
84;3;0;100;10;20;5;0;0
85;3;0;100;10;20;5;0;0
86;3;0;100;10;20;5;0;0
87;3;0;100;10;20;5;0;0
88;3;0;100;10;20;5;0;0
89;3;0;100;10;20;5;0;0
90;3;0;100;10;20;5;0;0
91;3;0;100;10;20;5;0;0
92;3;0;100;10;20;5;0;0
93;3;0;100;10;20;5;0;0
94;3;0;100;10;20;5;0;0
95;3;0;100;10;20;5;0;0
96;3;2;100;10;20;5;181124;1726179877109023434
97;3;0;100;10;20;5;0;0
98;3;0;100;10;20;5;0;0
99;3;0;100;10;20;5;0;0
0;3;0;100;10;20;5;0;0
1;3;0;100;10;20;5;0;0
2;3;0;100;10;20;5;0;0
3;3;0;100;10;20;5;0;0
4;3;0;100;10;20;5;0;0
5;3;0;100;10;20;5;0;0
6;3;0;100;10;20;5;0;0
7;3;0;100;10;20;5;0;0
8;3;0;100;10;20;5;0;0
9;3;0;100;10;20;5;0;0
10;3;0;100;10;20;5;0;0
11;3;0;100;10;20;5;0;0
12;3;0;100;10;20;5;0;0
13;3;0;100;10;20;5;0;0
14;3;0;100;10;20;5;0;0
15;3;0;100;10;20;5;0;0
16;3;0;100;10;20;5;0;0
17;3;0;100;10;20;5;0;0
18;3;0;100;10;20;5;0;0
19;3;0;100;10;20;5;0;0
20;3;0;100;10;20;5;0;0
21;3;0;100;10;20;5;0;0
22;3;0;100;10;20;5;0;0
23;3;0;100;10;20;5;0;0
24;3;0;100;10;20;5;0;0
25;3;0;100;10;20;5;0;0
26;3;3;100;10;20;5;216955;1726179876409001218
27;3;0;100;10;20;5;0;0
28;3;0;100;10;20;5;0;0
29;3;0;100;10;20;5;0;0
30;3;0;100;10;20;5;0;0
31;3;0;100;10;20;5;0;0
32;3;0;100;10;20;5;0;0
33;3;0;100;10;20;5;0;0
34;3;0;100;10;20;5;0;0
35;3;0;100;10;20;5;0;0
36;3;0;100;10;20;5;0;0
37;3;0;100;10;20;5;0;0
38;3;0;100;10;20;5;0;0
39;3;0;100;10;20;5;0;0
40;3;0;100;10;20;5;0;0
41;3;0;100;10;20;5;0;0
42;3;0;100;10;20;5;0;0
43;3;0;100;10;20;5;0;0
44;3;0;100;10;20;5;0;0
45;3;0;100;10;20;5;0;0
46;3;0;100;10;20;5;0;0
47;3;0;100;10;20;5;0;0
48;3;0;100;10;20;5;0;0
49;3;0;100;10;20;5;0;0
50;3;0;100;10;20;5;0;0
51;3;0;100;10;20;5;0;0
52;3;0;100;10;20;5;0;0
53;3;0;100;10;20;5;0;0
54;3;0;100;10;20;5;0;0
55;3;0;100;10;20;5;0;0
56;3;0;100;10;20;5;0;0
57;3;0;100;10;20;5;0;0
58;3;0;100;10;20;5;0;0
59;3;0;100;10;20;5;0;0
60;3;0;100;10;20;5;0;0
61;3;0;100;10;20;5;0;0
62;3;0;100;10;20;5;0;0
63;3;0;100;10;20;5;0;0
64;3;0;100;10;20;5;0;0
65;3;0;100;10;20;5;0;0
66;3;0;100;10;20;5;0;0
67;3;0;100;10;20;5;0;0
68;3;0;100;10;20;5;0;0
69;3;0;100;10;20;5;0;0
70;3;0;100;10;20;5;0;0
71;3;0;100;10;20;5;0;0
72;3;0;100;10;20;5;0;0
73;3;0;100;10;20;5;0;0
74;3;0;100;10;20;5;0;0
75;3;0;100;10;20;5;0;0
76;3;0;100;10;20;5;0;0
77;3;0;100;10;20;5;0;0
78;3;0;100;10;20;5;0;0
79;3;0;100;10;20;5;0;0
80;3;0;100;10;20;5;0;0
81;3;0;100;10;20;5;0;0
82;3;0;100;10;20;5;0;0
83;3;0;100;10;20;5;0;0
84;3;0;100;10;20;5;0;0
85;3;0;100;10;20;5;0;0
86;3;0;100;10;20;5;0;0
87;3;0;100;10;20;5;0;0
88;3;0;100;10;20;5;0;0
89;3;0;100;10;20;5;0;0
90;3;0;100;10;20;5;0;0
91;3;0;100;10;20;5;0;0
92;3;0;100;10;20;5;0;0
93;3;0;100;10;20;5;0;0
94;3;0;100;10;20;5;0;0
95;3;0;100;10;20;5;0;0
96;3;0;100;10;20;5;0;0
97;3;0;100;10;20;5;0;0
98;3;0;100;10;20;5;0;0
99;3;0;100;10;20;5;0;0
0;3;0;100;10;20;5;0;0
1;3;0;100;10;20;5;0;0
2;3;0;100;10;20;5;0;0
3;3;0;100;10;20;5;0;0
4;3;0;100;10;20;5;0;0
5;3;0;100;10;20;5;0;0
6;3;0;100;10;20;5;0;0
7;3;0;100;10;20;5;0;0
8;3;0;100;10;20;5;0;0
9;3;0;100;10;20;5;0;0
10;3;0;100;10;20;5;0;0
11;3;0;100;10;20;5;0;0
12;3;0;100;10;20;5;0;0
13;3;0;100;10;20;5;0;0
14;3;0;100;10;20;5;0;0
15;3;0;100;10;20;5;0;0
16;3;0;100;10;20;5;0;0
17;3;0;100;10;20;5;0;0
18;3;0;100;10;20;5;0;0
19;3;0;100;10;20;5;0;0
20;3;0;100;10;20;5;0;0
21;3;0;100;10;20;5;0;0
22;3;0;100;10;20;5;0;0
23;3;0;100;10;20;5;0;0
24;3;0;100;10;20;5;0;0
25;3;0;100;10;20;5;0;0
26;3;0;100;10;20;5;0;0
27;3;0;100;10;20;5;0;0
28;3;0;100;10;20;5;0;0
29;3;0;100;10;20;5;0;0
30;3;0;100;10;20;5;0;0
31;3;0;100;10;20;5;0;0
32;3;0;100;10;20;5;0;0
33;3;0;100;10;20;5;0;0
34;3;0;100;10;20;5;0;0
35;3;0;100;10;20;5;0;0
36;3;0;100;10;20;5;0;0
37;3;0;100;10;20;5;0;0
38;3;0;100;10;20;5;0;0
39;3;0;100;10;20;5;0;0
40;3;0;100;10;20;5;0;0
41;3;0;100;10;20;5;0;0
42;3;0;100;10;20;5;0;0
43;3;0;100;10;20;5;0;0
44;3;0;100;10;20;5;0;0
45;3;0;100;10;20;5;0;0
46;3;0;100;10;20;5;0;0
47;3;0;100;10;20;5;0;0
48;3;0;100;10;20;5;0;0
49;3;0;100;10;20;5;0;0
50;3;0;100;10;20;5;0;0
51;3;0;100;10;20;5;0;0
52;3;0;100;10;20;5;0;0
53;3;0;100;10;20;5;0;0
54;3;0;100;10;20;5;0;0
55;3;0;100;10;20;5;0;0
56;3;0;100;10;20;5;0;0
57;3;0;100;10;20;5;0;0
58;3;0;100;10;20;5;0;0
59;3;0;100;10;20;5;0;0
60;3;0;100;10;20;5;0;0
61;3;0;100;10;20;5;0;0
62;3;0;100;10;20;5;0;0
63;3;0;100;10;20;5;0;0
64;3;0;100;10;20;5;0;0
65;3;0;100;10;20;5;0;0
66;3;0;100;10;20;5;0;0
67;3;0;100;10;20;5;0;0
68;3;0;100;10;20;5;0;0
69;3;0;100;10;20;5;0;0
70;3;0;100;10;20;5;0;0
71;3;0;100;10;20;5;0;0
72;3;0;100;10;20;5;0;0
73;3;0;100;10;20;5;0;0
74;3;0;100;10;20;5;0;0
75;3;0;100;10;20;5;0;0
76;3;4;100;10;20;5;211749;1726179876909004858
77;3;0;100;10;20;5;0;0
78;3;0;100;10;20;5;0;0
79;3;0;100;10;20;5;0;0
80;3;0;100;10;20;5;0;0
81;3;0;100;10;20;5;0;0
82;3;0;100;10;20;5;0;0
83;3;0;100;10;20;5;0;0
84;3;0;100;10;20;5;0;0
85;3;0;100;10;20;5;0;0
86;3;0;100;10;20;5;0;0
87;3;0;100;10;20;5;0;0
88;3;0;100;10;20;5;0;0
89;3;0;100;10;20;5;0;0
90;3;0;100;10;20;5;0;0
91;3;0;100;10;20;5;0;0
92;3;0;100;10;20;5;0;0
93;3;0;100;10;20;5;0;0
94;3;0;100;10;20;5;0;0
95;3;0;100;10;20;5;0;0
96;3;0;100;10;20;5;0;0
97;3;0;100;10;20;5;0;0
98;3;0;100;10;20;5;0;0
99;3;0;100;10;20;5;0;0
0;3;0;100;10;20;5;0;0
1;3;0;100;10;20;5;0;0
2;3;0;100;10;20;5;0;0
3;3;0;100;10;20;5;0;0
4;3;0;100;10;20;5;0;0
5;3;0;100;10;20;5;0;0
6;3;0;100;10;20;5;0;0
7;3;0;100;10;20;5;0;0
8;3;0;100;10;20;5;0;0
9;3;0;100;10;20;5;0;0
10;3;0;100;10;20;5;0;0
11;3;0;100;10;20;5;0;0
12;3;0;100;10;20;5;0;0
13;3;0;100;10;20;5;0;0
14;3;0;100;10;20;5;0;0
15;3;0;100;10;20;5;0;0
16;3;0;100;10;20;5;0;0
17;3;0;100;10;20;5;0;0
18;3;0;100;10;20;5;0;0
19;3;0;100;10;20;5;0;0
20;3;0;100;10;20;5;0;0
21;3;0;100;10;20;5;0;0
22;3;0;100;10;20;5;0;0
23;3;0;100;10;20;5;0;0
24;3;0;100;10;20;5;0;0
25;3;0;100;10;20;5;0;0
26;3;0;100;10;20;5;0;0
27;3;0;100;10;20;5;0;0
28;3;0;100;10;20;5;0;0
29;3;0;100;10;20;5;0;0
30;3;0;100;10;20;5;0;0
31;3;0;100;10;20;5;0;0
32;3;0;100;10;20;5;0;0
33;3;0;100;10;20;5;0;0
34;3;0;100;10;20;5;0;0
35;3;0;100;10;20;5;0;0
36;3;0;100;10;20;5;0;0
37;3;0;100;10;20;5;0;0
38;3;0;100;10;20;5;0;0
39;3;0;100;10;20;5;0;0
40;3;0;100;10;20;5;0;0
41;3;0;100;10;20;5;0;0
42;3;0;100;10;20;5;0;0
43;3;0;100;10;20;5;0;0
44;3;0;100;10;20;5;0;0
45;3;0;100;10;20;5;0;0
46;3;0;100;10;20;5;0;0
47;3;0;100;10;20;5;0;0
48;3;0;100;10;20;5;0;0
49;3;0;100;10;20;5;0;0
50;3;0;100;10;20;5;0;0
51;3;0;100;10;20;5;0;0
52;3;0;100;10;20;5;0;0
53;3;0;100;10;20;5;0;0
54;3;0;100;10;20;5;0;0
55;3;0;100;10;20;5;0;0
56;3;0;100;10;20;5;0;0
57;3;0;100;10;20;5;0;0
58;3;0;100;10;20;5;0;0
59;3;0;100;10;20;5;0;0
60;3;0;100;10;20;5;0;0
61;3;0;100;10;20;5;0;0
62;3;0;100;10;20;5;0;0
63;3;0;100;10;20;5;0;0
64;3;0;100;10;20;5;0;0
65;3;0;100;10;20;5;0;0
66;3;0;100;10;20;5;0;0
67;3;0;100;10;20;5;0;0
68;3;0;100;10;20;5;0;0
69;3;0;100;10;20;5;0;0
70;3;0;100;10;20;5;0;0
71;3;0;100;10;20;5;0;0
72;3;0;100;10;20;5;0;0
73;3;0;100;10;20;5;0;0
74;3;0;100;10;20;5;0;0
75;3;0;100;10;20;5;0;0
76;3;0;100;10;20;5;0;0
77;3;0;100;10;20;5;0;0
78;3;0;100;10;20;5;0;0
79;3;0;100;10;20;5;0;0
80;3;0;100;10;20;5;0;0
81;3;0;100;10;20;5;0;0
82;3;0;100;10;20;5;0;0
83;3;0;100;10;20;5;0;0
84;3;0;100;10;20;5;0;0
85;3;0;100;10;20;5;0;0
86;3;0;100;10;20;5;0;0
87;3;0;100;10;20;5;0;0
88;3;0;100;10;20;5;0;0
89;3;0;100;10;20;5;0;0
90;3;0;100;10;20;5;0;0
91;3;0;100;10;20;5;0;0
92;3;0;100;10;20;5;0;0
93;3;0;100;10;20;5;0;0
94;3;0;100;10;20;5;0;0
95;3;0;100;10;20;5;0;0
96;3;0;100;10;20;5;0;0
97;3;0;100;10;20;5;0;0
98;3;0;100;10;20;5;0;0
99;3;0;100;10;20;5;0;0
0;3;0;100;10;20;5;0;0
1;3;0;100;10;20;5;0;0
2;3;0;100;10;20;5;0;0
3;3;0;100;10;20;5;0;0
4;3;0;100;10;20;5;0;0
5;3;0;100;10;20;5;0;0
6;3;0;100;10;20;5;0;0
7;3;0;100;10;20;5;0;0
8;3;0;100;10;20;5;0;0
9;3;0;100;10;20;5;0;0
10;3;0;100;10;20;5;0;0
11;3;0;100;10;20;5;0;0
12;3;0;100;10;20;5;0;0
13;3;0;100;10;20;5;0;0
14;3;0;100;10;20;5;0;0
15;3;0;100;10;20;5;0;0
16;3;0;100;10;20;5;0;0
17;3;0;100;10;20;5;0;0
18;3;0;100;10;20;5;0;0
19;3;0;100;10;20;5;0;0
20;3;0;100;10;20;5;0;0
21;3;0;100;10;20;5;0;0
22;3;0;100;10;20;5;0;0
23;3;0;100;10;20;5;0;0
24;3;0;100;10;20;5;0;0
25;3;0;100;10;20;5;0;0
26;3;0;100;10;20;5;0;0
27;3;0;100;10;20;5;0;0
28;3;0;100;10;20;5;0;0
29;3;0;100;10;20;5;0;0
30;3;0;100;10;20;5;0;0
31;3;0;100;10;20;5;0;0
32;3;0;100;10;20;5;0;0
33;3;0;100;10;20;5;0;0
34;3;0;100;10;20;5;0;0
35;3;0;100;10;20;5;0;0
36;3;0;100;10;20;5;0;0
37;3;0;100;10;20;5;0;0
38;3;0;100;10;20;5;0;0
39;3;0;100;10;20;5;0;0
40;3;0;100;10;20;5;0;0
41;3;0;100;10;20;5;0;0
42;3;0;100;10;20;5;0;0
43;3;0;100;10;20;5;0;0
44;3;0;100;10;20;5;0;0
45;3;0;100;10;20;5;0;0
46;3;0;100;10;20;5;0;0
47;3;0;100;10;20;5;0;0
48;3;0;100;10;20;5;0;0
49;3;0;100;10;20;5;0;0
50;3;0;100;10;20;5;0;0
51;3;0;100;10;20;5;0;0
52;3;0;100;10;20;5;0;0
53;3;0;100;10;20;5;0;0
54;3;0;100;10;20;5;0;0
55;3;0;100;10;20;5;0;0
56;3;0;100;10;20;5;0;0
57;3;0;100;10;20;5;0;0
58;3;0;100;10;20;5;0;0
59;3;0;100;10;20;5;0;0
60;3;0;100;10;20;5;0;0
61;3;0;100;10;20;5;0;0
62;3;0;100;10;20;5;0;0
63;3;0;100;10;20;5;0;0
64;3;0;100;10;20;5;0;0
65;3;0;100;10;20;5;0;0
66;3;0;100;10;20;5;0;0
67;3;0;100;10;20;5;0;0
68;3;6;100;10;20;5;171169;1726179876829010357
69;3;0;100;10;20;5;0;0
70;3;0;100;10;20;5;0;0
71;3;0;100;10;20;5;0;0
72;3;0;100;10;20;5;0;0
73;3;0;100;10;20;5;0;0
74;3;0;100;10;20;5;0;0
75;3;0;100;10;20;5;0;0
76;3;0;100;10;20;5;0;0
77;3;0;100;10;20;5;0;0
78;3;0;100;10;20;5;0;0
79;3;0;100;10;20;5;0;0
80;3;0;100;10;20;5;0;0
81;3;0;100;10;20;5;0;0
82;3;0;100;10;20;5;0;0
83;3;0;100;10;20;5;0;0
84;3;0;100;10;20;5;0;0
85;3;0;100;10;20;5;0;0
86;3;0;100;10;20;5;0;0
87;3;0;100;10;20;5;0;0
88;3;0;100;10;20;5;0;0
89;3;0;100;10;20;5;0;0
90;3;0;100;10;20;5;0;0
91;3;0;100;10;20;5;0;0
92;3;0;100;10;20;5;0;0
93;3;0;100;10;20;5;0;0
94;3;0;100;10;20;5;0;0
95;3;0;100;10;20;5;0;0
96;3;0;100;10;20;5;0;0
97;3;0;100;10;20;5;0;0
98;3;0;100;10;20;5;0;0
99;3;0;100;10;20;5;0;0
0;3;0;100;10;20;5;0;0
1;3;0;100;10;20;5;0;0
2;3;0;100;10;20;5;0;0
3;3;0;100;10;20;5;0;0
4;3;0;100;10;20;5;0;0
5;3;0;100;10;20;5;0;0
6;3;7;100;10;20;5;134769;1726179876208952163
7;3;0;100;10;20;5;0;0
8;3;0;100;10;20;5;0;0
9;3;0;100;10;20;5;0;0
10;3;0;100;10;20;5;0;0
11;3;0;100;10;20;5;0;0
12;3;0;100;10;20;5;0;0
13;3;0;100;10;20;5;0;0
14;3;0;100;10;20;5;0;0
15;3;0;100;10;20;5;0;0
16;3;0;100;10;20;5;0;0
17;3;0;100;10;20;5;0;0
18;3;0;100;10;20;5;0;0
19;3;0;100;10;20;5;0;0
20;3;0;100;10;20;5;0;0
21;3;0;100;10;20;5;0;0
22;3;0;100;10;20;5;0;0
23;3;0;100;10;20;5;0;0
24;3;0;100;10;20;5;0;0
25;3;0;100;10;20;5;0;0
26;3;0;100;10;20;5;0;0
27;3;0;100;10;20;5;0;0
28;3;0;100;10;20;5;0;0
29;3;0;100;10;20;5;0;0
30;3;0;100;10;20;5;0;0
31;3;0;100;10;20;5;0;0
32;3;0;100;10;20;5;0;0
33;3;0;100;10;20;5;0;0
34;3;0;100;10;20;5;0;0
35;3;0;100;10;20;5;0;0
36;3;0;100;10;20;5;0;0
37;3;0;100;10;20;5;0;0
38;3;0;100;10;20;5;0;0
39;3;0;100;10;20;5;0;0
40;3;0;100;10;20;5;0;0
41;3;0;100;10;20;5;0;0
42;3;0;100;10;20;5;0;0
43;3;0;100;10;20;5;0;0
44;3;0;100;10;20;5;0;0
45;3;0;100;10;20;5;0;0
46;3;0;100;10;20;5;0;0
47;3;0;100;10;20;5;0;0
48;3;0;100;10;20;5;0;0
49;3;0;100;10;20;5;0;0
50;3;0;100;10;20;5;0;0
51;3;0;100;10;20;5;0;0
52;3;0;100;10;20;5;0;0
53;3;0;100;10;20;5;0;0
54;3;0;100;10;20;5;0;0
55;3;0;100;10;20;5;0;0
56;3;0;100;10;20;5;0;0
57;3;0;100;10;20;5;0;0
58;3;0;100;10;20;5;0;0
59;3;0;100;10;20;5;0;0
60;3;0;100;10;20;5;0;0
61;3;0;100;10;20;5;0;0
62;3;0;100;10;20;5;0;0
63;3;0;100;10;20;5;0;0
64;3;0;100;10;20;5;0;0
65;3;0;100;10;20;5;0;0
66;3;0;100;10;20;5;0;0
67;3;0;100;10;20;5;0;0
68;3;0;100;10;20;5;0;0
69;3;0;100;10;20;5;0;0
70;3;0;100;10;20;5;0;0
71;3;0;100;10;20;5;0;0
72;3;0;100;10;20;5;0;0
73;3;0;100;10;20;5;0;0
74;3;0;100;10;20;5;0;0
75;3;0;100;10;20;5;0;0
76;3;0;100;10;20;5;0;0
77;3;0;100;10;20;5;0;0
78;3;0;100;10;20;5;0;0
79;3;0;100;10;20;5;0;0
80;3;0;100;10;20;5;0;0
81;3;0;100;10;20;5;0;0
82;3;0;100;10;20;5;0;0
83;3;0;100;10;20;5;0;0
84;3;0;100;10;20;5;0;0
85;3;0;100;10;20;5;0;0
86;3;0;100;10;20;5;0;0
87;3;0;100;10;20;5;0;0
88;3;0;100;10;20;5;0;0
89;3;0;100;10;20;5;0;0
90;3;0;100;10;20;5;0;0
91;3;0;100;10;20;5;0;0
92;3;0;100;10;20;5;0;0
93;3;0;100;10;20;5;0;0
94;3;0;100;10;20;5;0;0
95;3;0;100;10;20;5;0;0
96;3;0;100;10;20;5;0;0
97;3;0;100;10;20;5;0;0
98;3;0;100;10;20;5;0;0
99;3;0;100;10;20;5;0;0
0;3;0;100;10;20;5;0;0
1;3;0;100;10;20;5;0;0
2;3;0;100;10;20;5;0;0
3;3;0;100;10;20;5;0;0
4;3;0;100;10;20;5;0;0
5;3;0;100;10;20;5;0;0
6;3;0;100;10;20;5;0;0
7;3;0;100;10;20;5;0;0
8;3;0;100;10;20;5;0;0
9;3;0;100;10;20;5;0;0
10;3;0;100;10;20;5;0;0
11;3;0;100;10;20;5;0;0
12;3;0;100;10;20;5;0;0
13;3;0;100;10;20;5;0;0
14;3;0;100;10;20;5;0;0
15;3;0;100;10;20;5;0;0
16;3;0;100;10;20;5;0;0
17;3;0;100;10;20;5;0;0
18;3;0;100;10;20;5;0;0
19;3;0;100;10;20;5;0;0
20;3;0;100;10;20;5;0;0
21;3;0;100;10;20;5;0;0
22;3;0;100;10;20;5;0;0
23;3;0;100;10;20;5;0;0
24;3;0;100;10;20;5;0;0
25;3;0;100;10;20;5;0;0
26;3;0;100;10;20;5;0;0
27;3;0;100;10;20;5;0;0
28;3;0;100;10;20;5;0;0
29;3;0;100;10;20;5;0;0
30;3;0;100;10;20;5;0;0
31;3;0;100;10;20;5;0;0
32;3;0;100;10;20;5;0;0
33;3;0;100;10;20;5;0;0
34;3;0;100;10;20;5;0;0
35;3;0;100;10;20;5;0;0
36;3;0;100;10;20;5;0;0
37;3;0;100;10;20;5;0;0
38;3;0;100;10;20;5;0;0
39;3;0;100;10;20;5;0;0
40;3;0;100;10;20;5;0;0
41;3;0;100;10;20;5;0;0
42;3;0;100;10;20;5;0;0
43;3;0;100;10;20;5;0;0
44;3;0;100;10;20;5;0;0
45;3;0;100;10;20;5;0;0
46;3;0;100;10;20;5;0;0
47;3;0;100;10;20;5;0;0
48;3;0;100;10;20;5;0;0
49;3;0;100;10;20;5;0;0
50;3;0;100;10;20;5;0;0
51;3;0;100;10;20;5;0;0
52;3;0;100;10;20;5;0;0
53;3;0;100;10;20;5;0;0
54;3;0;100;10;20;5;0;0
55;3;0;100;10;20;5;0;0
56;3;0;100;10;20;5;0;0
57;3;0;100;10;20;5;0;0
58;3;0;100;10;20;5;0;0
59;3;0;100;10;20;5;0;0
60;3;0;100;10;20;5;0;0
61;3;0;100;10;20;5;0;0
62;3;0;100;10;20;5;0;0
63;3;0;100;10;20;5;0;0
64;3;0;100;10;20;5;0;0
65;3;0;100;10;20;5;0;0
66;3;0;100;10;20;5;0;0
67;3;0;100;10;20;5;0;0
68;3;0;100;10;20;5;0;0
69;3;0;100;10;20;5;0;0
70;3;0;100;10;20;5;0;0
71;3;0;100;10;20;5;0;0
72;3;0;100;10;20;5;0;0
73;3;0;100;10;20;5;0;0
74;3;0;100;10;20;5;0;0
75;3;0;100;10;20;5;0;0
76;3;0;100;10;20;5;0;0
77;3;0;100;10;20;5;0;0
78;3;8;100;10;20;5;131426;1726179876929087972
79;3;0;100;10;20;5;0;0
80;3;0;100;10;20;5;0;0
81;3;0;100;10;20;5;0;0
82;3;0;100;10;20;5;0;0
83;3;0;100;10;20;5;0;0
84;3;0;100;10;20;5;0;0
85;3;0;100;10;20;5;0;0
86;3;0;100;10;20;5;0;0
87;3;0;100;10;20;5;0;0
88;3;0;100;10;20;5;0;0
89;3;0;100;10;20;5;0;0
90;3;0;100;10;20;5;0;0
91;3;0;100;10;20;5;0;0
92;3;0;100;10;20;5;0;0
93;3;0;100;10;20;5;0;0
94;3;0;100;10;20;5;0;0
95;3;0;100;10;20;5;0;0
96;3;0;100;10;20;5;0;0
97;3;0;100;10;20;5;0;0
98;3;0;100;10;20;5;0;0
99;3;0;100;10;20;5;0;0
0;3;0;100;10;20;5;0;0
1;3;0;100;10;20;5;0;0
2;3;0;100;10;20;5;0;0
3;3;9;100;10;20;5;145817;1726179876179046360
4;3;0;100;10;20;5;0;0
5;3;0;100;10;20;5;0;0
6;3;0;100;10;20;5;0;0
7;3;0;100;10;20;5;0;0
8;3;0;100;10;20;5;0;0
9;3;0;100;10;20;5;0;0
10;3;0;100;10;20;5;0;0
11;3;0;100;10;20;5;0;0
12;3;0;100;10;20;5;0;0
13;3;0;100;10;20;5;0;0
14;3;0;100;10;20;5;0;0
15;3;0;100;10;20;5;0;0
16;3;0;100;10;20;5;0;0
17;3;0;100;10;20;5;0;0
18;3;0;100;10;20;5;0;0
19;3;0;100;10;20;5;0;0
20;3;0;100;10;20;5;0;0
21;3;0;100;10;20;5;0;0
22;3;0;100;10;20;5;0;0
23;3;0;100;10;20;5;0;0
24;3;0;100;10;20;5;0;0
25;3;0;100;10;20;5;0;0
26;3;0;100;10;20;5;0;0
27;3;0;100;10;20;5;0;0
28;3;0;100;10;20;5;0;0
29;3;0;100;10;20;5;0;0
30;3;0;100;10;20;5;0;0
31;3;0;100;10;20;5;0;0
32;3;0;100;10;20;5;0;0
33;3;0;100;10;20;5;0;0
34;3;0;100;10;20;5;0;0
35;3;0;100;10;20;5;0;0
36;3;0;100;10;20;5;0;0
37;3;0;100;10;20;5;0;0
38;3;0;100;10;20;5;0;0
39;3;0;100;10;20;5;0;0
40;3;0;100;10;20;5;0;0
41;3;0;100;10;20;5;0;0
42;3;0;100;10;20;5;0;0
43;3;0;100;10;20;5;0;0
44;3;0;100;10;20;5;0;0
45;3;0;100;10;20;5;0;0
46;3;0;100;10;20;5;0;0
47;3;0;100;10;20;5;0;0
48;3;0;100;10;20;5;0;0
49;3;0;100;10;20;5;0;0
50;3;0;100;10;20;5;0;0
51;3;0;100;10;20;5;0;0
52;3;0;100;10;20;5;0;0
53;3;0;100;10;20;5;0;0
54;3;0;100;10;20;5;0;0
55;3;0;100;10;20;5;0;0
56;3;0;100;10;20;5;0;0
57;3;0;100;10;20;5;0;0
58;3;0;100;10;20;5;0;0
59;3;0;100;10;20;5;0;0
60;3;0;100;10;20;5;0;0
61;3;0;100;10;20;5;0;0
62;3;0;100;10;20;5;0;0
